Provincia	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996
Albacete	392118	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	195841	197014	198230	200016	201640	201400	201396	201162	199820	196772	194348	192624	189743	188139	185458	182826	180311	179210	178058	 	178130	196277	197566	198757	199991	201197	200918	200286	199729	197673	195338	193310	192016	189705	188417	186329	184457	182952	181811	180539	 	180880
Alicante	1836459	1855047	1868438	1945642	1943910	1934127	1926285	1917012	1891477	1825264	1783555	1732389	1657040	1632349	1557968	1490265	1445144	1410946	1388933	 	1379762	911173	920920	928519	968927	969237	964560	961733	958200	947523	913455	892862	866000	825568	811672	772613	735179	710896	693933	682380	 	677118	925286	934127	939919	976715	974673	969567	964552	958812	943954	911809	890693	866389	831472	820677	785355	755086	734248	717013	706553	 	702644
Almería	704297	701211	701688	699329	704219	702819	695560	684426	667635	646633	635850	612315	580077	565310	546498	533168	518229	512843	505448	 	501761	358223	356058	356663	355658	359547	361189	358112	352395	343716	333227	329632	315056	294186	287292	276380	269545	259384	256380	252177	 	250552	346074	345153	345025	343671	344672	341630	337448	332031	323919	313406	306218	297259	285891	278018	270118	263623	258845	256463	253271	 	251209
Álava	324126	323648	321932	321417	322557	319227	317352	313819	309635	305459	301926	299957	295905	294360	291860	288793	286497	285748	284595	 	281821	160240	160294	159583	159622	160649	159041	158322	156418	154376	152040	150297	149623	147475	146651	145251	143579	142269	141900	141350	 	139940	163886	163354	162349	161795	161908	160186	159030	157401	155259	153419	151629	150334	148430	147709	146609	145214	144228	143848	143245	 	141881
Asturias	1042608	1051229	1061756	1068165	1077360	1081487	1084341	1085289	1080138	1074862	1076896	1076635	1073761	1075381	1073971	1075329	1076567	1084314	1081834	 	1087885	497852	502175	507927	511346	516420	518571	520402	520916	518291	515292	516347	516329	515047	515945	515166	515897	516398	520012	519530	 	522981	544756	549054	553829	556819	560940	562916	563939	564373	561847	559570	560549	560306	558714	559436	558805	559432	560169	564302	562304	 	564904
Ávila	162514	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	81630	82880	83998	85025	86434	87085	86728	86720	86836	84897	84290	83941	83393	83036	82951	82297	82790	83441	84013	 	85007	80884	82045	83017	83800	84831	85619	85168	84960	84979	83741	83528	83091	82715	82444	82187	81588	82201	82818	83119	 	84335
Badajoz	684113	686730	690929	693729	694533	693921	692137	688777	685246	678459	673474	671299	663896	663142	662808	664251	661874	664625	663803	 	656848	338954	340376	342654	344296	344690	344291	343363	341912	340243	336211	333759	332481	328519	327802	327691	328427	327198	328541	328160	 	324765	345159	346354	348275	349433	349843	349630	348774	346865	345003	342248	339715	338818	335377	335340	335117	335824	334676	336084	335643	 	332083
Baleares	1107220	1104479	1103442	1111674	1119439	1113114	1106049	1095426	1072844	1030650	1001062	983131	955045	947361	916968	878627	845630	821820	796483	 	760379	550682	549678	549801	554603	560091	557577	555204	551079	540395	517593	501899	492642	478046	474248	458349	437340	419095	406358	392835	 	373891	556538	554801	553641	557071	559348	555537	550845	544347	532449	513057	499163	490489	476999	473113	458619	441287	426535	415462	403648	 	386488
Barcelona	5542680	5523922	5523784	5540925	5552050	5529099	5511147	5487935	5416447	5332513	5309404	5226354	5117885	5052666	4906117	4804606	4736277	4706325	4666271	 	4628277	2704771	2696360	2699040	2711403	2722394	2715628	2710304	2703137	2668359	2623719	2615776	2571514	2512246	2479347	2398899	2337968	2299291	2283548	2261746	 	2246945	2837909	2827562	2824744	2829522	2829656	2813471	2800843	2784798	2748088	2708794	2693628	2654840	2605639	2573319	2507218	2466638	2436986	2422777	2404525	 	2381332
Vizcaya	1147576	1148775	1151905	1156447	1158439	1155772	1153724	1152658	1146421	1141457	1139863	1136181	1132861	1133428	1133444	1132616	1132729	1137418	1137594	 	1140026	554342	554832	556772	559573	561134	560178	559359	559174	556095	553355	553501	552297	550836	551266	551288	550802	550880	553548	553761	 	555274	593234	593943	595133	596874	597305	595594	594365	593484	590326	588102	586362	583884	582025	582162	582156	581814	581849	583870	583833	 	584752
Burgos	360995	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	180418	182142	183882	186638	189124	189652	189454	190271	189675	184713	183355	181610	178943	178140	176770	175237	173695	173729	173195	 	175247	180577	181860	183018	184610	185846	186005	185372	185292	183997	181259	180519	179411	177494	177065	175953	174573	173545	173489	173160	 	174827
Cáceres	403665	406267	408703	410275	413597	415446	415083	413633	412498	411531	412899	412580	411390	410762	410242	409130	407546	408949	405616	 	413396	200285	201702	202962	203758	205634	206573	206358	205638	205949	205481	206593	206744	206185	206089	205848	205195	203946	204965	202834	 	205735	203380	204565	205741	206517	207963	208873	208725	207995	206549	206050	206306	205836	205205	204673	204394	203935	203600	203984	202782	 	207661
Cádiz	1239889	1240284	1240175	1238492	1245164	1243519	1236739	1230594	1220467	1207343	1194062	1180817	1164374	1155724	1140793	1131346	1125105	1119802	1107484	 	1105762	612858	613094	613340	612770	616686	615865	612833	609984	608616	601832	594647	587700	578939	573992	566033	561330	557963	555684	549120	 	548263	627031	627190	626835	625722	628478	627654	623906	620610	611851	605511	599415	593117	585435	581732	574760	570016	567142	564118	558364	 	557499
Cantabria	582206	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	282988	284788	286782	288643	289999	289872	289931	288735	285469	280283	277869	274797	270907	268309	264492	261967	258682	257495	256766	 	256946	299218	300391	301874	303245	303862	303249	302319	300500	296669	292541	290222	287512	283877	281381	277783	275639	272477	270983	270371	 	270491
Castellón	579245	582327	587508	601699	604564	604344	604274	602301	594915	573282	559761	543432	527345	518239	501237	485173	474385	467895	461712	 	456727	287802	289720	292804	300992	302927	302855	303490	303460	299829	288079	281340	272714	264099	259437	250410	241143	235070	231578	228231	 	225406	291443	292607	294704	300707	301637	301489	300784	298841	295086	285203	278421	270718	263246	258802	250827	244030	239315	236317	233481	 	231321
Ciudad Real	506888	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	250847	254571	257918	260888	264067	264078	264098	263038	260649	253473	251565	247795	243698	240603	238380	234988	233538	234828	234972	 	234355	256041	259142	261695	264074	266183	266097	265355	264235	261694	256649	255299	252265	249216	247067	245958	243593	243095	244259	244502	 	244317
Córdoba	791610	795611	799402	802422	804498	805857	805108	803998	798822	792182	788287	784376	779870	775944	771131	769625	769237	768676	767175	 	761401	388470	390559	392644	394189	395300	395858	395570	395225	392658	389173	386939	384749	382213	379989	377328	376511	376308	376237	375244	 	372249	403140	405052	406758	408233	409198	409999	409538	408773	406164	403009	401348	399627	397657	395955	393803	393114	392929	392439	391931	 	389152
A Coruña	1122799	1127196	1132735	1138161	1143911	1147124	1146458	1145488	1139121	1132792	1129141	1126707	1121344	1120814	1111886	1108002	1108419	1108980	1106325	 	1110302	538878	541292	544075	547079	550009	551476	551318	550841	548037	544352	542260	541189	538764	538469	533914	532039	531744	532943	531769	 	533921	583921	585904	588660	591082	593902	595648	595140	594647	591084	588440	586881	585518	582580	582345	577972	575963	576675	576037	574556	 	576381
Cuenca	201071	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	101097	102583	104586	107111	110460	111052	110384	110282	109058	106633	105068	104912	102947	102040	101048	100630	100126	100088	99031	 	100387	99974	101258	102863	104788	107576	108086	107332	107081	106216	104742	103548	103062	101599	100942	100566	100896	100927	100875	100055	 	101325
Guipúzcoa	717832	716834	715148	713818	712097	709607	707263	705698	701056	694944	691895	688708	686513	684416	682977	680069	679370	677275	676439	 	676208	350998	350799	350014	349551	348655	347653	347027	346820	344679	341400	340051	338605	337552	336409	335670	334011	333502	332698	331804	 	331900	366834	366035	365134	364267	363442	361954	360236	358878	356377	353544	351844	350103	348961	348007	347307	346058	345868	344577	344635	 	344308
Girona	753576	753054	756156	761632	761627	756810	753046	747782	731864	706185	687331	664506	636198	619692	598112	579650	565599	553348	543191	 	530631	376943	376936	379175	382685	383428	381448	380773	379629	372266	358108	348922	336206	320098	311514	299657	289317	281460	274866	269400	 	262542	376633	376118	376981	378947	378199	375362	372273	368153	359598	348077	338409	328300	316100	308178	298455	290333	284139	278482	273791	 	268089
Granada	915392	917297	919455	919319	922928	924550	918072	907428	901220	884099	876184	860898	841687	828107	818959	812637	809004	813061	801177	 	808053	451148	451907	453407	453670	456216	457084	453734	448784	447280	437782	433320	424718	414472	407293	402121	398272	395659	397751	391867	 	395509	464244	465390	466048	465649	466712	467466	464338	458644	453940	446317	442864	436180	427215	420814	416838	414365	413345	415310	409310	 	412544
Guadalajara	252882	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	128265	128952	130197	131796	133009	131532	129170	126608	122327	114798	109054	104082	98911	94421	90208	86761	83488	81594	80464	 	79412	124617	124734	125229	125927	126528	124929	122393	119543	115460	109278	104451	99655	95002	91053	87553	84771	81859	80075	78867	 	77843
Huelva	519596	520017	519229	520668	522862	521968	518081	513403	507915	497671	492174	483792	476707	472446	464934	461730	458998	457507	453958	 	454735	257571	257699	257542	258387	259370	259362	257716	255144	252394	248151	246056	241142	237146	234902	230999	228771	227014	226227	224433	 	224776	262025	262318	261687	262281	263492	262606	260365	258259	255521	249520	246118	242650	239561	237544	233935	232959	231984	231280	229525	 	229959
Huesca	221079	222909	224909	226329	227609	228361	228566	228409	225271	220107	218023	215864	212901	211286	208963	205955	205430	205429	204956	 	206916	111597	112626	113840	114781	115512	116224	116524	116630	114939	111978	110983	109869	107961	106962	105566	103711	103220	103135	102854	 	103976	109482	110283	111069	111548	112097	112137	112042	111779	110332	108129	107040	105995	104940	104324	103397	102244	102210	102294	102102	 	102940
Jaén	648250	654170	659033	664916	670242	670600	670761	669782	667438	664742	662751	660284	654458	651565	647387	645781	645711	649662	645792	 	648551	320862	323861	326583	330505	334226	333384	332900	332517	332568	330543	329496	328041	324877	323089	320575	319613	319203	321263	319272	 	319859	327388	330309	332450	334411	336016	337216	337861	337265	334870	334199	333255	332243	329581	328476	326812	326168	326508	328399	326520	 	328692
León	473604	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	230727	233664	236537	239179	241749	243316	244199	244716	244786	242939	243051	241756	240342	242106	242409	243846	245282	247677	247569	 	253256	242877	245731	248157	250573	252702	254483	255085	255453	255414	254448	255172	254146	252378	253892	254246	255671	256873	258834	258796	 	263935
